id,to_currency,from_currency,exchange_rate,provider,valid_from
eib_20250109_EUR_GBP,GBP,EUR,0.854703,European Central Bank,2025-01-09
eib_20250109_GBP_EUR,EUR,GBP,1.169997,European Central Bank,2025-01-09
eib_20250109_USD_GBP,GBP,USD,1.270479,European Central Bank,2025-01-09
eib_20250109_GBP_USD,USD,GBP,0.787105,European Central Bank,2025-01-09
eib_20250110_EUR_USD,USD,EUR,1.085788,European Central Bank,2025-01-10
eib_20250110_USD_EUR,EUR,USD,0.92099,European Central Bank,2025-01-10
eib_20250110_EUR_GBP,GBP,EUR,0.854741,European Central Bank,2025-01-10
eib_20250110_GBP_EUR,EUR,GBP,1.169945,European Central Bank,2025-01-10
eib_20250110_USD_GBP,GBP,USD,1.270311,European Central Bank,2025-01-10
eib_20250110_GBP_USD,USD,GBP,0.787209,European Central Bank,2025-01-10
eib_20250111_EUR_USD,USD,EUR,1.085896,European Central Bank,2025-01-11
eib_20250111_USD_EUR,EUR,USD,0.920898,European Central Bank,2025-01-11
eib_20250111_EUR_GBP,GBP,EUR,0.8545,European Central Bank,2025-01-11
eib_20250111_GBP_EUR,EUR,GBP,1.170275,European Central Bank,2025-01-11
eib_20250111_USD_GBP,GBP,USD,1.270797,European Central Bank,2025-01-11
eib_20250111_GBP_USD,USD,GBP,0.786908,European Central Bank,2025-01-11
eib_20250112_EUR_USD,USD,EUR,1.085803,European Central Bank,2025-01-12
eib_20250112_USD_EUR,EUR,USD,0.920977,European Central Bank,2025-01-12
eib_20250112_EUR_GBP,GBP,EUR,0.854265,European Central Bank,2025-01-12
eib_20250112_GBP_EUR,EUR,GBP,1.170596,European Central Bank,2025-01-12
eib_20250112_USD_GBP,GBP,USD,1.271038,European Central Bank,2025-01-12
eib_20250112_GBP_USD,USD,GBP,0.786759,European Central Bank,2025-01-12
eib_20250113_EUR_USD,USD,EUR,1.08571,European Central Bank,2025-01-13
eib_20250113_USD_EUR,EUR,USD,0.921056,European Central Bank,2025-01-13
eib_20250113_EUR_GBP,GBP,EUR,0.854146,European Central Bank,2025-01-13
eib_20250113_GBP_EUR,EUR,GBP,1.17076,European Central Bank,2025-01-13
eib_20250113_USD_GBP,GBP,USD,1.271107,European Central Bank,2025-01-13
eib_20250113_GBP_USD,USD,GBP,0.786716,European Central Bank,2025-01-13
eib_20250114_EUR_USD,USD,EUR,1.085759,European Central Bank,2025-01-14
eib_20250114_USD_EUR,EUR,USD,0.921015,European Central Bank,2025-01-14
eib_20250114_EUR_GBP,GBP,EUR,0.85411,European Central Bank,2025-01-14
eib_20250114_GBP_EUR,EUR,GBP,1.170809,European Central Bank,2025-01-14
eib_20250114_USD_GBP,GBP,USD,1.271216,European Central Bank,2025-01-14
eib_20250114_GBP_USD,USD,GBP,0.786648,European Central Bank,2025-01-14
eib_20250115_EUR_USD,USD,EUR,1.085376,European Central Bank,2025-01-15
eib_20250115_USD_EUR,EUR,USD,0.92134,European Central Bank,2025-01-15
eib_20250115_EUR_GBP,GBP,EUR,0.854162,European Central Bank,2025-01-15
eib_20250115_GBP_EUR,EUR,GBP,1.170738,European Central Bank,2025-01-15
eib_20250115_USD_GBP,GBP,USD,1.270691,European Central Bank,2025-01-15
eib_20250115_GBP_USD,USD,GBP,0.786973,European Central Bank,2025-01-15
eib_20250116_EUR_USD,USD,EUR,1.085031,European Central Bank,2025-01-16
eib_20250116_USD_EUR,EUR,USD,0.921633,European Central Bank,2025-01-16
eib_20250116_EUR_GBP,GBP,EUR,0.854408,European Central Bank,2025-01-16
eib_20250116_GBP_EUR,EUR,GBP,1.170401,European Central Bank,2025-01-16
eib_20250116_USD_GBP,GBP,USD,1.269922,European Central Bank,2025-01-16
eib_20250116_GBP_USD,USD,GBP,0.78745,European Central Bank,2025-01-16
eib_20250117_EUR_USD,USD,EUR,1.084919,European Central Bank,2025-01-17
eib_20250117_USD_EUR,EUR,USD,0.921728,European Central Bank,2025-01-17
eib_20250117_EUR_GBP,GBP,EUR,0.854551,European Central Bank,2025-01-17
eib_20250117_GBP_EUR,EUR,GBP,1.170205,European Central Bank,2025-01-17
eib_20250117_USD_GBP,GBP,USD,1.269578,European Central Bank,2025-01-17
eib_20250117_GBP_USD,USD,GBP,0.787664,European Central Bank,2025-01-17
eib_20250118_EUR_USD,USD,EUR,1.084716,European Central Bank,2025-01-18
eib_20250118_USD_EUR,EUR,USD,0.9219,European Central Bank,2025-01-18
eib_20250118_EUR_GBP,GBP,EUR,0.854524,European Central Bank,2025-01-18
eib_20250118_GBP_EUR,EUR,GBP,1.170242,European Central Bank,2025-01-18
eib_20250118_USD_GBP,GBP,USD,1.26938,European Central Bank,2025-01-18
eib_20250118_GBP_USD,USD,GBP,0.787786,European Central Bank,2025-01-18
eib_20250119_EUR_USD,USD,EUR,1.084779,European Central Bank,2025-01-19
eib_20250119_USD_EUR,EUR,USD,0.921847,European Central Bank,2025-01-19
eib_20250119_EUR_GBP,GBP,EUR,0.854521,European Central Bank,2025-01-19
eib_20250119_GBP_EUR,EUR,GBP,1.170246,European Central Bank,2025-01-19
eib_20250119_USD_GBP,GBP,USD,1.269458,European Central Bank,2025-01-19
eib_20250119_GBP_USD,USD,GBP,0.787737,European Central Bank,2025-01-19
eib_20250120_EUR_USD,USD,EUR,1.084597,European Central Bank,2025-01-20
eib_20250120_USD_EUR,EUR,USD,0.922001,European Central Bank,2025-01-20
eib_20250120_EUR_GBP,GBP,EUR,0.854354,European Central Bank,2025-01-20
eib_20250120_GBP_EUR,EUR,GBP,1.170475,European Central Bank,2025-01-20
eib_20250120_USD_GBP,GBP,USD,1.269494,European Central Bank,2025-01-20
eib_20250120_GBP_USD,USD,GBP,0.787715,European Central Bank,2025-01-20
eib_20250121_EUR_USD,USD,EUR,1.084315,European Central Bank,2025-01-21
eib_20250121_USD_EUR,EUR,USD,0.922241,European Central Bank,2025-01-21
eib_20250121_EUR_GBP,GBP,EUR,0.854351,European Central Bank,2025-01-21
eib_20250121_GBP_EUR,EUR,GBP,1.170479,European Central Bank,2025-01-21
eib_20250121_USD_GBP,GBP,USD,1.269168,European Central Bank,2025-01-21
eib_20250121_GBP_USD,USD,GBP,0.787918,European Central Bank,2025-01-21
eib_20250122_EUR_USD,USD,EUR,1.084608,European Central Bank,2025-01-22
eib_20250122_USD_EUR,EUR,USD,0.921992,European Central Bank,2025-01-22
eib_20250122_EUR_GBP,GBP,EUR,0.854303,European Central Bank,2025-01-22
eib_20250122_GBP_EUR,EUR,GBP,1.170545,European Central Bank,2025-01-22
eib_20250122_USD_GBP,GBP,USD,1.269583,European Central Bank,2025-01-22
eib_20250122_GBP_USD,USD,GBP,0.78766,European Central Bank,2025-01-22
eib_20250123_EUR_USD,USD,EUR,1.084563,European Central Bank,2025-01-23
eib_20250123_USD_EUR,EUR,USD,0.922031,European Central Bank,2025-01-23
eib_20250123_EUR_GBP,GBP,EUR,0.854356,European Central Bank,2025-01-23
eib_20250123_GBP_EUR,EUR,GBP,1.170472,European Central Bank,2025-01-23
eib_20250123_USD_GBP,GBP,USD,1.26945,European Central Bank,2025-01-23
eib_20250123_GBP_USD,USD,GBP,0.787743,European Central Bank,2025-01-23
eib_20250124_EUR_USD,USD,EUR,1.084576,European Central Bank,2025-01-24
eib_20250124_USD_EUR,EUR,USD,0.922019,European Central Bank,2025-01-24
eib_20250124_EUR_GBP,GBP,EUR,0.854219,European Central Bank,2025-01-24
eib_20250124_GBP_EUR,EUR,GBP,1.170661,European Central Bank,2025-01-24
eib_20250124_USD_GBP,GBP,USD,1.269671,European Central Bank,2025-01-24
eib_20250124_GBP_USD,USD,GBP,0.787606,European Central Bank,2025-01-24
eib_20250125_EUR_USD,USD,EUR,1.084291,European Central Bank,2025-01-25
eib_20250125_USD_EUR,EUR,USD,0.922261,European Central Bank,2025-01-25
eib_20250125_EUR_GBP,GBP,EUR,0.854305,European Central Bank,2025-01-25
eib_20250125_GBP_EUR,EUR,GBP,1.170542,European Central Bank,2025-01-25
eib_20250125_USD_GBP,GBP,USD,1.269208,European Central Bank,2025-01-25
eib_20250125_GBP_USD,USD,GBP,0.787893,European Central Bank,2025-01-25
eib_20250126_EUR_USD,USD,EUR,1.084182,European Central Bank,2025-01-26
eib_20250126_USD_EUR,EUR,USD,0.922354,European Central Bank,2025-01-26
eib_20250126_EUR_GBP,GBP,EUR,0.854561,European Central Bank,2025-01-26
eib_20250126_GBP_EUR,EUR,GBP,1.170192,European Central Bank,2025-01-26
eib_20250126_USD_GBP,GBP,USD,1.268702,European Central Bank,2025-01-26
eib_20250126_GBP_USD,USD,GBP,0.788207,European Central Bank,2025-01-26
eib_20250127_EUR_USD,USD,EUR,1.084205,European Central Bank,2025-01-27
eib_20250127_USD_EUR,EUR,USD,0.922335,European Central Bank,2025-01-27
eib_20250127_EUR_GBP,GBP,EUR,0.854542,European Central Bank,2025-01-27
eib_20250127_GBP_EUR,EUR,GBP,1.170217,European Central Bank,2025-01-27
eib_20250127_USD_GBP,GBP,USD,1.268755,European Central Bank,2025-01-27
eib_20250127_GBP_USD,USD,GBP,0.788175,European Central Bank,2025-01-27
eib_20250128_EUR_USD,USD,EUR,1.083974,European Central Bank,2025-01-28
eib_20250128_USD_EUR,EUR,USD,0.922531,European Central Bank,2025-01-28
eib_20250128_EUR_GBP,GBP,EUR,0.854609,European Central Bank,2025-01-28
eib_20250128_GBP_EUR,EUR,GBP,1.170125,European Central Bank,2025-01-28
eib_20250128_USD_GBP,GBP,USD,1.268386,European Central Bank,2025-01-28
eib_20250128_GBP_USD,USD,GBP,0.788404,European Central Bank,2025-01-28
eib_20250129_EUR_USD,USD,EUR,1.08405,European Central Bank,2025-01-29
eib_20250129_USD_EUR,EUR,USD,0.922467,European Central Bank,2025-01-29
eib_20250129_EUR_GBP,GBP,EUR,0.854724,European Central Bank,2025-01-29
eib_20250129_GBP_EUR,EUR,GBP,1.169968,European Central Bank,2025-01-29
eib_20250129_USD_GBP,GBP,USD,1.268303,European Central Bank,2025-01-29
eib_20250129_GBP_USD,USD,GBP,0.788455,European Central Bank,2025-01-29
eib_20250130_EUR_USD,USD,EUR,1.083929,European Central Bank,2025-01-30
eib_20250130_USD_EUR,EUR,USD,0.922569,European Central Bank,2025-01-30
eib_20250130_EUR_GBP,GBP,EUR,0.854658,European Central Bank,2025-01-30
eib_20250130_GBP_EUR,EUR,GBP,1.170059,European Central Bank,2025-01-30
eib_20250130_USD_GBP,GBP,USD,1.268262,European Central Bank,2025-01-30
eib_20250130_GBP_USD,USD,GBP,0.788481,European Central Bank,2025-01-30
eib_20250131_EUR_USD,USD,EUR,1.083871,European Central Bank,2025-01-31
eib_20250131_USD_EUR,EUR,USD,0.922619,European Central Bank,2025-01-31
eib_20250131_EUR_GBP,GBP,EUR,0.854695,European Central Bank,2025-01-31
eib_20250131_GBP_EUR,EUR,GBP,1.170008,European Central Bank,2025-01-31
eib_20250131_USD_GBP,GBP,USD,1.268138,European Central Bank,2025-01-31
eib_20250131_GBP_USD,USD,GBP,0.788558,European Central Bank,2025-01-31
eib_20250201_EUR_USD,USD,EUR,1.083751,European Central Bank,2025-02-01
eib_20250201_USD_EUR,EUR,USD,0.922721,European Central Bank,2025-02-01
eib_20250201_EUR_GBP,GBP,EUR,0.854697,European Central Bank,2025-02-01
eib_20250201_GBP_EUR,EUR,GBP,1.170005,European Central Bank,2025-02-01
eib_20250201_USD_GBP,GBP,USD,1.267994,European Central Bank,2025-02-01
eib_20250201_GBP_USD,USD,GBP,0.788647,European Central Bank,2025-02-01
eib_20250202_EUR_USD,USD,EUR,1.084121,European Central Bank,2025-02-02
eib_20250202_USD_EUR,EUR,USD,0.922406,European Central Bank,2025-02-02
eib_20250202_EUR_GBP,GBP,EUR,0.854713,European Central Bank,2025-02-02
eib_20250202_GBP_EUR,EUR,GBP,1.169983,European Central Bank,2025-02-02
eib_20250202_USD_GBP,GBP,USD,1.268403,European Central Bank,2025-02-02
eib_20250202_GBP_USD,USD,GBP,0.788393,European Central Bank,2025-02-02
eib_20250203_EUR_USD,USD,EUR,1.084119,European Central Bank,2025-02-03
eib_20250203_USD_EUR,EUR,USD,0.922408,European Central Bank,2025-02-03
eib_20250203_EUR_GBP,GBP,EUR,0.854584,European Central Bank,2025-02-03
eib_20250203_GBP_EUR,EUR,GBP,1.170159,European Central Bank,2025-02-03
eib_20250203_USD_GBP,GBP,USD,1.268591,European Central Bank,2025-02-03
eib_20250203_GBP_USD,USD,GBP,0.788276,European Central Bank,2025-02-03
eib_20250204_EUR_USD,USD,EUR,1.083907,European Central Bank,2025-02-04
eib_20250204_USD_EUR,EUR,USD,0.922588,European Central Bank,2025-02-04
eib_20250204_EUR_GBP,GBP,EUR,0.854589,European Central Bank,2025-02-04
eib_20250204_GBP_EUR,EUR,GBP,1.170154,European Central Bank,2025-02-04
eib_20250204_USD_GBP,GBP,USD,1.268338,European Central Bank,2025-02-04
eib_20250204_GBP_USD,USD,GBP,0.788433,European Central Bank,2025-02-04
eib_20250205_EUR_USD,USD,EUR,1.084072,European Central Bank,2025-02-05
eib_20250205_USD_EUR,EUR,USD,0.922448,European Central Bank,2025-02-05
eib_20250205_EUR_GBP,GBP,EUR,0.854672,European Central Bank,2025-02-05
eib_20250205_GBP_EUR,EUR,GBP,1.17004,European Central Bank,2025-02-05
eib_20250205_USD_GBP,GBP,USD,1.268407,European Central Bank,2025-02-05
eib_20250205_GBP_USD,USD,GBP,0.78839,European Central Bank,2025-02-05
eib_20250206_EUR_USD,USD,EUR,1.083827,European Central Bank,2025-02-06
eib_20250206_USD_EUR,EUR,USD,0.922656,European Central Bank,2025-02-06
eib_20250206_EUR_GBP,GBP,EUR,0.854913,European Central Bank,2025-02-06
eib_20250206_GBP_EUR,EUR,GBP,1.169709,European Central Bank,2025-02-06
eib_20250206_USD_GBP,GBP,USD,1.267763,European Central Bank,2025-02-06
eib_20250206_GBP_USD,USD,GBP,0.788791,European Central Bank,2025-02-06
eib_20250207_EUR_USD,USD,EUR,1.083869,European Central Bank,2025-02-07
eib_20250207_USD_EUR,EUR,USD,0.922621,European Central Bank,2025-02-07
eib_20250207_EUR_GBP,GBP,EUR,0.855073,European Central Bank,2025-02-07
eib_20250207_GBP_EUR,EUR,GBP,1.16949,European Central Bank,2025-02-07
eib_20250207_USD_GBP,GBP,USD,1.267574,European Central Bank,2025-02-07
eib_20250207_GBP_USD,USD,GBP,0.788908,European Central Bank,2025-02-07
eib_20250208_EUR_USD,USD,EUR,1.083477,European Central Bank,2025-02-08
eib_20250208_USD_EUR,EUR,USD,0.922954,European Central Bank,2025-02-08
eib_20250208_EUR_GBP,GBP,EUR,0.855432,European Central Bank,2025-02-08
eib_20250208_GBP_EUR,EUR,GBP,1.169,European Central Bank,2025-02-08
eib_20250208_USD_GBP,GBP,USD,1.266585,European Central Bank,2025-02-08
eib_20250208_GBP_USD,USD,GBP,0.789525,European Central Bank,2025-02-08
eib_20250209_EUR_USD,USD,EUR,1.083212,European Central Bank,2025-02-09
eib_20250209_USD_EUR,EUR,USD,0.923181,European Central Bank,2025-02-09
eib_20250209_EUR_GBP,GBP,EUR,0.855304,European Central Bank,2025-02-09
eib_20250209_GBP_EUR,EUR,GBP,1.169175,European Central Bank,2025-02-09
eib_20250209_USD_GBP,GBP,USD,1.266463,European Central Bank,2025-02-09
eib_20250209_GBP_USD,USD,GBP,0.7896,European Central Bank,2025-02-09
eib_20250210_EUR_USD,USD,EUR,1.083251,European Central Bank,2025-02-10
eib_20250210_USD_EUR,EUR,USD,0.923147,European Central Bank,2025-02-10
eib_20250210_EUR_GBP,GBP,EUR,0.85545,European Central Bank,2025-02-10
eib_20250210_GBP_EUR,EUR,GBP,1.168976,European Central Bank,2025-02-10
eib_20250210_USD_GBP,GBP,USD,1.266294,European Central Bank,2025-02-10
eib_20250210_GBP_USD,USD,GBP,0.789706,European Central Bank,2025-02-10
eib_20250211_EUR_USD,USD,EUR,1.083399,European Central Bank,2025-02-11
eib_20250211_USD_EUR,EUR,USD,0.923021,European Central Bank,2025-02-11
eib_20250211_EUR_GBP,GBP,EUR,0.85548,European Central Bank,2025-02-11
eib_20250211_GBP_EUR,EUR,GBP,1.168934,European Central Bank,2025-02-11
eib_20250211_USD_GBP,GBP,USD,1.266422,European Central Bank,2025-02-11
eib_20250211_GBP_USD,USD,GBP,0.789626,European Central Bank,2025-02-11
eib_20250212_EUR_USD,USD,EUR,1.083433,European Central Bank,2025-02-12
eib_20250212_USD_EUR,EUR,USD,0.922992,European Central Bank,2025-02-12
eib_20250212_EUR_GBP,GBP,EUR,0.855845,European Central Bank,2025-02-12
eib_20250212_GBP_EUR,EUR,GBP,1.168436,European Central Bank,2025-02-12
eib_20250212_USD_GBP,GBP,USD,1.265922,European Central Bank,2025-02-12
eib_20250212_GBP_USD,USD,GBP,0.789938,European Central Bank,2025-02-12
eib_20250213_EUR_USD,USD,EUR,1.08341,European Central Bank,2025-02-13
eib_20250213_USD_EUR,EUR,USD,0.923012,European Central Bank,2025-02-13
eib_20250213_EUR_GBP,GBP,EUR,0.85571,European Central Bank,2025-02-13
eib_20250213_GBP_EUR,EUR,GBP,1.16862,European Central Bank,2025-02-13
eib_20250213_USD_GBP,GBP,USD,1.266094,European Central Bank,2025-02-13
eib_20250213_GBP_USD,USD,GBP,0.789831,European Central Bank,2025-02-13
eib_20250214_EUR_USD,USD,EUR,1.08335,European Central Bank,2025-02-14
eib_20250214_USD_EUR,EUR,USD,0.923063,European Central Bank,2025-02-14
eib_20250214_EUR_GBP,GBP,EUR,0.855571,European Central Bank,2025-02-14
eib_20250214_GBP_EUR,EUR,GBP,1.168811,European Central Bank,2025-02-14
eib_20250214_USD_GBP,GBP,USD,1.266231,European Central Bank,2025-02-14
eib_20250214_GBP_USD,USD,GBP,0.789746,European Central Bank,2025-02-14
eib_20250215_EUR_USD,USD,EUR,1.083054,European Central Bank,2025-02-15
eib_20250215_USD_EUR,EUR,USD,0.923315,European Central Bank,2025-02-15
eib_20250215_EUR_GBP,GBP,EUR,0.855471,European Central Bank,2025-02-15
eib_20250215_GBP_EUR,EUR,GBP,1.168947,European Central Bank,2025-02-15
eib_20250215_USD_GBP,GBP,USD,1.266033,European Central Bank,2025-02-15
eib_20250215_GBP_USD,USD,GBP,0.789869,European Central Bank,2025-02-15
eib_20250216_EUR_USD,USD,EUR,1.08291,European Central Bank,2025-02-16
eib_20250216_USD_EUR,EUR,USD,0.923438,European Central Bank,2025-02-16
eib_20250216_EUR_GBP,GBP,EUR,0.855117,European Central Bank,2025-02-16
eib_20250216_GBP_EUR,EUR,GBP,1.169431,European Central Bank,2025-02-16
eib_20250216_USD_GBP,GBP,USD,1.266388,European Central Bank,2025-02-16
eib_20250216_GBP_USD,USD,GBP,0.789647,European Central Bank,2025-02-16
eib_20250217_EUR_USD,USD,EUR,1.082818,European Central Bank,2025-02-17
eib_20250217_USD_EUR,EUR,USD,0.923516,European Central Bank,2025-02-17
eib_20250217_EUR_GBP,GBP,EUR,0.855029,European Central Bank,2025-02-17
eib_20250217_GBP_EUR,EUR,GBP,1.169551,European Central Bank,2025-02-17
eib_20250217_USD_GBP,GBP,USD,1.26641,European Central Bank,2025-02-17
eib_20250217_GBP_USD,USD,GBP,0.789633,European Central Bank,2025-02-17
eib_20250218_EUR_USD,USD,EUR,1.083029,European Central Bank,2025-02-18
eib_20250218_USD_EUR,EUR,USD,0.923336,European Central Bank,2025-02-18
eib_20250218_EUR_GBP,GBP,EUR,0.854902,European Central Bank,2025-02-18
eib_20250218_GBP_EUR,EUR,GBP,1.169724,European Central Bank,2025-02-18
eib_20250218_USD_GBP,GBP,USD,1.266845,European Central Bank,2025-02-18
eib_20250218_GBP_USD,USD,GBP,0.789362,European Central Bank,2025-02-18
eib_20250219_EUR_USD,USD,EUR,1.083098,European Central Bank,2025-02-19
eib_20250219_USD_EUR,EUR,USD,0.923278,European Central Bank,2025-02-19
eib_20250219_EUR_GBP,GBP,EUR,0.854928,European Central Bank,2025-02-19
eib_20250219_GBP_EUR,EUR,GBP,1.16969,European Central Bank,2025-02-19
eib_20250219_USD_GBP,GBP,USD,1.266888,European Central Bank,2025-02-19
eib_20250219_GBP_USD,USD,GBP,0.789335,European Central Bank,2025-02-19
eib_20250220_EUR_USD,USD,EUR,1.082745,European Central Bank,2025-02-20
eib_20250220_USD_EUR,EUR,USD,0.923578,European Central Bank,2025-02-20
eib_20250220_EUR_GBP,GBP,EUR,0.854985,European Central Bank,2025-02-20
eib_20250220_GBP_EUR,EUR,GBP,1.169612,European Central Bank,2025-02-20
eib_20250220_USD_GBP,GBP,USD,1.266392,European Central Bank,2025-02-20
eib_20250220_GBP_USD,USD,GBP,0.789645,European Central Bank,2025-02-20
eib_20250221_EUR_USD,USD,EUR,1.08281,European Central Bank,2025-02-21
eib_20250221_USD_EUR,EUR,USD,0.923523,European Central Bank,2025-02-21
eib_20250221_EUR_GBP,GBP,EUR,0.855297,European Central Bank,2025-02-21
eib_20250221_GBP_EUR,EUR,GBP,1.169184,European Central Bank,2025-02-21
eib_20250221_USD_GBP,GBP,USD,1.266004,European Central Bank,2025-02-21
eib_20250221_GBP_USD,USD,GBP,0.789887,European Central Bank,2025-02-21
eib_20250222_EUR_USD,USD,EUR,1.082733,European Central Bank,2025-02-22
eib_20250222_USD_EUR,EUR,USD,0.923589,European Central Bank,2025-02-22
eib_20250222_EUR_GBP,GBP,EUR,0.855456,European Central Bank,2025-02-22
eib_20250222_GBP_EUR,EUR,GBP,1.168968,European Central Bank,2025-02-22
eib_20250222_USD_GBP,GBP,USD,1.26568,European Central Bank,2025-02-22
eib_20250222_GBP_USD,USD,GBP,0.790089,European Central Bank,2025-02-22
eib_20250223_EUR_USD,USD,EUR,1.082598,European Central Bank,2025-02-23
eib_20250223_USD_EUR,EUR,USD,0.923704,European Central Bank,2025-02-23
eib_20250223_EUR_GBP,GBP,EUR,0.855359,European Central Bank,2025-02-23
eib_20250223_GBP_EUR,EUR,GBP,1.169099,European Central Bank,2025-02-23
eib_20250223_USD_GBP,GBP,USD,1.265664,European Central Bank,2025-02-23
eib_20250223_GBP_USD,USD,GBP,0.790099,European Central Bank,2025-02-23
eib_20250224_EUR_USD,USD,EUR,1.08272,European Central Bank,2025-02-24
eib_20250224_USD_EUR,EUR,USD,0.9236,European Central Bank,2025-02-24
eib_20250224_EUR_GBP,GBP,EUR,0.85521,European Central Bank,2025-02-24
eib_20250224_GBP_EUR,EUR,GBP,1.169304,European Central Bank,2025-02-24
eib_20250224_USD_GBP,GBP,USD,1.266029,European Central Bank,2025-02-24
eib_20250224_GBP_USD,USD,GBP,0.789872,European Central Bank,2025-02-24
eib_20250225_EUR_USD,USD,EUR,1.082926,European Central Bank,2025-02-25
eib_20250225_USD_EUR,EUR,USD,0.923424,European Central Bank,2025-02-25
eib_20250225_EUR_GBP,GBP,EUR,0.855292,European Central Bank,2025-02-25
eib_20250225_GBP_EUR,EUR,GBP,1.169192,European Central Bank,2025-02-25
eib_20250225_USD_GBP,GBP,USD,1.266148,European Central Bank,2025-02-25
eib_20250225_GBP_USD,USD,GBP,0.789797,European Central Bank,2025-02-25
eib_20250226_EUR_USD,USD,EUR,1.083112,European Central Bank,2025-02-26
eib_20250226_USD_EUR,EUR,USD,0.923265,European Central Bank,2025-02-26
eib_20250226_EUR_GBP,GBP,EUR,0.855072,European Central Bank,2025-02-26
eib_20250226_GBP_EUR,EUR,GBP,1.169493,European Central Bank,2025-02-26
eib_20250226_USD_GBP,GBP,USD,1.266692,European Central Bank,2025-02-26
eib_20250226_GBP_USD,USD,GBP,0.789458,European Central Bank,2025-02-26
